Theor.Mass,S_4,I_4,D_4,S_9,I_9,D_9,S_10,I_10,D_10,S_12A,I_12A,D_12A,S_12B,I_12B,D_12B
Label,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter,Winter,Winter,Winter,Winter,Winter
172.0756904,0,0,0,11190,0,0,0,0,0,0,0,0,0,0,0
172.0885772,0,0,0,12720,0,0,0,11330,11920,0,0,11370,0,0,0
172.1695908,0,0,0,75400,24750,59140,32800,66700,110800,16640,55390,79970,22690,53180,81860
173.0474406,18380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.049158,0,11950,18140,0,0,0,0,0,0,0,0,0,0,0,0
173.0597059,0,0,0,23600,17120,0,13700,20740,17910,0,16820,18470,11720,16070,18390
173.0669166,14470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.06857,0,86070,12740,0,0,0,0,0,0,0,0,0,0,0,0
173.0798034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0838261,44660,31500,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0960915,0,0,0,59780,45100,47850,34250,56670,57330,20590,53650,52320,38140,48560,55290
173.1729456,0,0,0,11490,0,10110,0,0,0,0,0,0,0,0,0
174.0331736,0,10360,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0426896,12660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0549549,0,0,0,12970,0,0,0,0,0,0,0,0,0,0,0
174.0583257,0,0,0,0,0,11830,0,0,0,0,0,0,0,0,0
174.0760843,0,25440,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0790751,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0947112,0,0,0,0,0,0,0,0,0,0,29090,0,0,21070,24370
175.0267052,15200,12190,0,0,0,0,0,0,0,0,0,0,0,0,0
175.0284226,0,0,11470,0,0,0,0,0,0,0,0,0,0,0,0
175.0389705,0,0,0,14870,0,0,0,0,0,0,0,0,0,0,0
175.0630907,45140,27420,24040,0,0,0,0,0,0,0,0,0,0,0,0
175.075356,0,0,0,49870,0,39310,30690,39640,0,15620,0,38210,0,35350,0
175.0994762,37340,25620,0,0,0,0,0,0,0,0,0,0,0,0,0
175.1117415,0,0,0,47270,32170,41950,28320,41990,46590,0,41140,34550,28010,35450,36890
176.0665822,0,0,0,0,0,0,0,0,0,15940,0,0,0,34570,0
176.0947252,16010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176.1103613,0,0,0,23150,0,17490,15100,18560,0,0,0,19460,0,0,0
177.0423552,42240,0,17250,0,0,0,0,0,0,0,0,0,0,0,0
177.0440727,0,43530,0,0,0,0,0,0,0,0,0,0,0,0,0
177.0546206,0,0,0,26900,0,19540,16670,17120,18600,0,17730,17290,13660,16320,17650
177.0692248,0,0,0,0,0,0,0,20790,0,0,0,0,0,0,15960
177.0787407,43800,29870,27150,0,0,0,0,0,0,0,0,0,0,0,0
177.0899741,0,0,0,0,0,0,0,0,0,14960,0,0,0,0,0
177.0910061,0,0,0,46560,32460,36550,28700,37920,39600,0,0,49360,32790,33520,0
177.1121354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.1151263,17060,12320,0,0,0,0,0,0,0,0,0,0,0,0,0
177.1273916,0,0,0,19490,0,13570,0,14280,15250,0,0,13700,12930,13470,14330
178.0354818,0,0,11360,0,0,0,0,0,0,0,0,0,0,0,0
178.0376042,11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.1226406,0,0,0,0,0,0,0,0,12770,0,13900,0,0,10980,0
179.0239891,20200,12870,11240,0,0,0,0,0,0,0,0,0,0,0,0
179.0550145,0,39070,0,0,0,0,0,0,0,0,0,0,0,0,0
179.0563519,36850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.0692387,0,0,0,34560,18910,0,0,0,0,0,0,0,17490,0,0
179.0702706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.0943908,26710,19530,17030,0,0,0,0,0,0,0,0,0,0,0,0
179.1066561,0,0,0,27740,0,0,16180,22160,0,0,0,0,17980,0,0
180.0532543,14860,15130,18800,0,0,0,0,0,0,0,0,0,0,0,0
180.0655196,0,0,0,11750,0,0,0,0,0,0,0,0,0,0,0
180.086649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27460
180.1019051,0,0,0,20130,0,0,0,0,0,0,16800,15550,0,0,14720
180.1052759,0,0,0,0,0,0,0,12560,0,0,0,0,0,0,0
180.1382906,0,0,0,27890,15430,0,15070,24190,32150,0,31000,28690,0,29280,31500
181.0372699,17010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.0389873,0,0,12570,0,0,0,0,0,0,0,0,0,0,0,0
181.0495352,0,0,0,12240,0,0,0,0,0,0,0,0,0,0,0
181.052906,21310,0,19140,0,0,0,0,0,0,0,0,0,0,0,0
181.0647913,0,0,0,31990,25260,29720,14900,30200,32990,0,27360,25900,14990,26350,28420
181.0736554,0,22950,0,0,0,0,0,0,0,0,0,0,0,0,0
181.0753728,0,0,19510,0,0,0,0,0,0,0,0,0,0,0,0
181.0859207,0,0,0,30700,19640,24080,15810,21130,21260,0,20580,21250,16950,21740,0
181.1100409,11840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181.1223062,0,0,0,12050,0,0,0,0,0,0,0,0,0,0,0
182.0303964,0,11450,0,0,0,0,0,0,0,0,0,0,0,0,0
182.0325188,0,0,10770,0,0,0,0,0,0,0,0,0,0,0,0
182.0689043,0,10230,0,0,0,0,0,0,0,0,0,0,0,0,0
182.0729271,0,0,0,0,0,0,0,0,0,0,18320,0,0,0,0
182.0762979,0,0,0,0,0,0,0,0,0,0,0,0,14980,0,0
182.1052898,0,0,0,0,0,0,0,29750,0,0,0,0,0,0,0
183.0529199,17360,15150,13780,0,0,0,0,0,0,0,0,0,0,0,0
183.0651853,0,0,0,12610,0,0,0,0,0,0,0,0,0,0,0
183.0685561,0,27930,30330,0,0,0,0,0,0,0,0,0,0,0,0
183.0804414,0,0,0,56080,48860,0,29830,56870,61840,18160,56580,52900,34560,48720,56170
183.0893054,14050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.1015708,0,0,0,10820,0,0,0,0,0,0,0,0,0,0,0
184.063805,13290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184.073321,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0
184.0756904,0,0,0,16840,0,0,0,0,0,0,0,0,0,0,0
184.0790612,0,0,0,0,0,0,15300,0,0,0,25380,22850,0,22820,0
184.0815636,0,0,0,0,0,0,0,26930,0,0,0,0,19480,0,0
185.0457872,18460,15010,0,0,0,0,0,0,0,0,0,0,0,0,0
185.0597059,0,0,0,21450,0,19370,0,21150,18560,0,18980,15330,14300,16050,17030
185.0669166,11230,10520,10380,0,0,0,0,0,0,0,0,0,0,0,0
185.0838261,36140,27330,20750,0,0,0,0,0,0,0,0,0,0,0,0
185.0960915,0,0,0,51370,42540,44270,30050,52440,56200,18320,48600,0,32420,46470,51290
185.1033021,30590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.1161889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.1536063,0,0,30660,0,0,0,0,0,0,0,0,0,0,0,0
186.0298028,0,0,10570,0,0,0,0,0,0,0,0,0,0,0,0
186.0608281,0,0,0,0,0,0,0,0,0,0,0,0,0,10410,0
186.063819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13320
186.0790751,0,12600,11080,0,0,0,0,0,0,0,0,0,0,0,0
186.0913404,0,0,0,14380,0,0,0,0,0,0,0,0,0,0,0
186.0947112,0,0,0,0,0,24490,0,23300,24010,0,0,22720,0,0,25450
187.0270852,14640,12170,0,0,0,0,0,0,0,0,0,0,0,0,0
187.0389705,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,0
187.0535747,0,0,0,0,0,0,0,0,0,0,14440,14400,0,0,16270
187.0560771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187.0630907,38950,28630,21260,0,0,0,0,0,0,0,0,0,0,0,0
187.075356,0,0,0,41650,34360,36900,26330,0,0,0,36540,36180,26380,31820,0
187.0994762,44410,30440,26470,0,0,0,0,0,0,0,0,0,0,0,0
187.1117415,0,0,0,53660,0,44300,32150,49720,55880,0,52300,46090,36690,42920,45840
188.0583397,22880,15870,14080,0,0,0,0,0,0,0,0,0,0,0,0
188.070605,0,0,0,20610,0,13940,0,16420,0,0,0,16930,14070,0,18850
188.0739758,0,0,0,0,0,0,0,0,19190,12840,0,0,0,0,0
188.0947252,15060,16290,0,0,0,0,0,0,0,0,0,0,0,0,0
188.1069905,0,0,0,0,0,0,0,0,0,0,0,0,15050,0,0
188.1103613,0,0,0,25200,22290,20310,0,0,0,0,0,0,0,0,23900
189.0099925,0,17040,13720,0,0,0,0,0,0,0,0,0,0,0,0
189.0407018,0,17790,0,0,0,0,0,0,0,0,0,0,0,0,0
189.0522512,0,0,0,0,0,0,11070,0,0,0,0,0,0,0,0
189.0535886,0,0,0,0,0,0,0,0,0,0,0,0,14170,0,0
189.0546206,0,0,0,22910,12980,14420,0,0,0,0,0,0,0,0,0
189.0787407,52030,32090,29040,0,0,0,0,0,0,0,0,0,0,0,0
189.0910061,0,0,0,62150,0,48010,0,0,55370,20030,0,0,0,0,0
189.1151263,31870,22090,20170,0,0,0,0,0,0,0,0,0,0,0,0
189.1273916,0,0,0,38530,25040,0,22770,30380,0,14500,31180,26380,22210,25730,28410
190.0346134,12570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190.0354818,0,11390,0,0,0,0,0,0,0,0,0,0,0,0,0
190.0498695,0,0,0,11570,0,0,0,0,0,0,0,0,0,0,0
190.0739897,17280,17870,20570,16420,0,0,0,0,0,0,0,0,0,0,0
190.0822323,0,0,0,0,42060,0,0,0,0,0,47530,0,0,0,0
190.086255,0,0,0,0,0,0,0,0,0,13830,0,0,0,0,0
190.0896259,0,0,0,0,0,18530,24640,0,0,0,0,0,0,0,0
190.1103752,16050,14680,13290,0,0,0,0,0,0,0,0,0,0,0,0
190.1260114,0,0,0,0,0,16320,0,0,0,0,0,0,0,0,0
191.0216198,21440,11590,0,0,0,0,0,0,0,0,0,0,0,0,0
191.0256425,0,0,12900,0,0,0,0,0,0,0,0,0,0,0,0
191.0410958,0,11040,0,0,0,0,0,0,0,0,0,0,0,0,0
191.0563519,0,30440,0,0,0,0,0,0,0,0,0,0,0,0,0
191.0580053,42250,0,27470,0,0,0,0,0,0,0,0,0,0,0,0
191.0692387,0,0,0,0,0,0,0,0,0,14950,0,0,0,0,0
191.0702706,0,0,0,40370,26600,33620,24960,31430,34130,0,32090,29350,27300,28700,30430
191.0927374,0,28860,0,0,0,0,0,0,0,0,0,0,0,0,0
191.0943908,46630,0,32160,0,0,0,0,0,0,0,0,0,0,0,0
